location,Langsa,Langsa,Langsa,Langsa
lat,4.66656,4.66656,4.66656,4.66656
lon,97.96875,97.96875,97.96875,97.96875
asl,18.700,18.700,18.700,18.700
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Langsa Temperature [2 m elevation corrected],Langsa Precipitation Total,Langsa Wind Speed [10 m],Langsa Wind Direction [10 m]
20201026T0000,25.346548,0.0,3.319036,282.5288
20201026T0100,25.156548,0.0,2.52,270.0
20201026T0200,24.786547,0.0,2.9024127,262.875
20201026T0300,24.576548,0.0,2.7416782,246.8014
20201026T0400,24.326548,0.0,2.5455842,225.0
20201026T0500,24.206547,0.0,0.8049845,243.43495
20201026T0600,24.046547,0.0,0.35999998,360.0
20201026T0700,24.496548,0.0,0.35999998,270.0
20201026T0800,26.386547,0.0,0.0,180.0
20201026T0900,26.916548,0.0,1.484318,75.96376
20201026T1000,27.286547,0.0,1.8,36.86989
20201026T1100,27.466547,0.0,2.4149535,26.565033
20201026T1200,27.616547,0.0,2.6208394,15.945404
20201026T1300,29.646547,0.0,3.2599385,6.340164
20201026T1400,28.296547,0.0,3.6179552,5.7105865
20201026T1500,29.436546,0.0,4.379589,9.462311
20201026T1600,28.726547,0.0,4.6800003,22.619858
20201026T1700,28.546547,0.0,5.00128,30.256424
20201026T1800,27.286547,0.0,5.1165614,39.2894
20201026T1900,25.286547,0.0,3.219938,116.56505
20201026T2000,25.076548,0.0,5.0911684,135.0
20201026T2100,24.696547,0.0,5.8603754,137.48955
20201026T2200,24.406548,0.0,4.39436,145.00798
20201026T2300,24.066547,0.0,4.0249224,153.43495
20201027T0000,23.836548,0.0,4.802999,167.00539
20201027T0100,23.626547,0.0,4.802999,167.00539
20201027T0200,23.456547,0.0,4.1046314,164.74487
20201027T0300,23.346548,0.0,3.7064266,150.94539
20201027T0400,23.266546,0.0,3.5455887,156.0375
20201027T0500,23.156548,0.0,3.7585104,163.30075
20201027T0600,23.036547,0.0,3.671294,168.69006
20201027T0700,23.966547,0.0,3.319036,167.47119
20201027T0800,25.946547,0.0,4.3498964,155.55605
20201027T0900,27.326548,0.0,4.1046314,142.12502
20201027T1000,28.466547,0.0,4.3349743,138.36646
20201027T1100,29.376547,0.0,4.3349743,138.36646
20201027T1200,29.976547,0.0,3.319036,130.60129
20201027T1300,30.306547,0.0,2.0991426,120.96376
20201027T1400,30.276546,0.0,1.08,89.99999
20201027T1500,30.126547,0.0,1.2979984,33.690063
20201027T1600,29.796547,0.0,2.7416782,23.198593
20201027T1700,29.126547,0.0,4.3498964,24.443954
20201027T1800,27.816547,0.0,5.315336,28.30075
